Job_Title,Company,Location,Date_Posted,Category,Looking_for,Description
Senior Python Developer,Byte Surge,"Remote, United States",19 October 2021,Developer / Engineer,"Back end,Web","Requirements:4 - 6 years’ experience in a corporate environment.Strong experience in Python and able to develop new and maintain existing Python code.Good web platform/Cloud development skills.Application development from web service API.Strong experience with Python ML packages.Experience with Oracle and/or MS SQL Server. Experience should include a basic understanding of relational databases as well as basic proficiency in writing queries.Experience writing database code (i.e., functions, stored procedures, triggers) in PL/SQL or T-SQLAn understanding of Windows- or Linux-based systems. Experience with one of them in a corporate environment."
SENIOR PYTHON BACK-END DEVELOPER,FELFEL - Good food at work,"8045, Switzerland",19 October 2021,Other,"Back end,Database,Finance,Management,Operations","YOUR ROLE:Back-end development for our core technology, which allows us to manage the inventory of all our fridges in real-time, manage our cooled supply chain, and sell products to our end-customersKeeping the architecture of our stack clean and the data structured – you will also shape and eventually own the architecture of services and databasesDeveloping tools for our internal teams (sales, support, operations, finance) to increase efficiency in business, and work closely with our UI-focused team members to integrate their front-ends with our backend servicesContinuously improve and maintain systems to ensure we have high performance, up-time, and strong security in place"
"Senior Software Engineer, Python",SmartRecruiters,"Berlin, Berlin, Germany",18 October 2021,Developer / Engineer,"Back end,Cloud,Database,Front end,Testing,Web","You will work with passionate people (our Engineering teams are located in Berlin, Krakow and San Francisco), so that all together we can reach one of the most important goals of today - to connect people to jobs at scale.You are an experienced back-end developer using Python, working with modern RESTful APIs and designing persistence layer (MongoDB),You are familiar with Amazon AWS, containerization software (Docker/Kubernetes) and monitoring/analysis tools (Kibana/Grafana/Prometheus),Basic knowledge of Java and Node.js,You have a very good level of English (both verbal and written),You have a good understanding of test automation techniques, because our goal is to automate it all,You share SmartRecruiters values and are willing to make an impact in the HRTech world."
Full Stack Python Developer,Fourth Estate,"REMOTE, REMOTE",18 October 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Front end,Integration,Lead,Management,Systems,Web","Design, develop, and maintain web-based applications and scalable cloud-based technologies. Solve problems and squash bugs as they arise as we scale and grow our member base. Work to integrate new and existing services and products.About the CompanyThe Fourth Estate is a Public Benefit organization and international NGO registered in Colorado ad headquartered in Washington, DC. Our staff is global.  We provide news and journalism content, and technology services.Contact InfoE-mail contact:jobs@fourthestate.orgWeb:https://www.fourthestate.org/jobs/full-stack-python-developer-part-time/"
Senior Backend Engineer,Clay,"Remote, Remote, USA",14 October 2021,Developer / Engineer,"Back end,Integration","# About you:4+ years of experience building web applications with high-availability services and infrastructure on cloud hosted systemsComfortable developing in Python (or ability to learn)Experience architecting, deploying, and operating asynchronous work queues, high-volume storage systems, and high-throughput systemsExperience in tradeoffs and performance optimizations for relational and non-relational databases and cachesExperience writing understandable, testable code with a goal of maintainability over timeAbility to work on full-stack projects collaboratively with frontend engineers and designers, with a product mindset and a preference for shipping early and iteratingUnderstanding of security best practicesGreat communication skills. You should be able to explain your approach and the impact of your work to non-technical stakeholders in a way that is clear to them, and provide technical guidance and mentorship for other engineers."
Data Science Manager - Python Standards Implementation,Capital One,"Mclean, Virginia, United States",14 October 2021,Other,"Back end,Big Data,Cloud,Lead,Machine Learning,Management,Systems","Basic Qualifications:Bachelor’s Degree plus 6 years of experience in data analytics, or Master’s Degree plus 4 years in data analytics, or PhD plus 1 year of experience in data analyticsAt least 2 years of experience in open source programming languages for large scale data analysisAt least 2 years of experience with machine learningAt least 2 years of experience with relational databases"
Remote Python Developer,Scopic,"Anywhere, Worldwide",14 October 2021,Developer / Engineer,"Back end,Front end","The skills and traits we’re looking for:2+ years of professional software development experienceStrong Python programming skillsExpertise in Django or similar framework (e.g. Flask)JavaScript programming skills, including at least one JavaScript framework (e.g. React, Angular, or Vue.js)Database skills including schemas and ORMsGeneral programming best practices, including proper use of Git"
Senior Lead Python Developer,Wells Fargo,"Irving, Texas, United States",14 October 2021,Developer / Engineer,Lead,"2+ years of RESTful or SOAP web services5+ years of software engineering and implementation experience2+ years of experience in microservices development5+ years of Java or Python experience2+ years of web client-side development using Angular or Razor5+ years of experience writing Microsoft SQL Server relational database queries, stored procedures, query optimization and performance tuning7+ years of software engineering experience"
Entry-level Django Developer,The Developer Society,"Birmingham, United Kingdom",14 October 2021,Developer / Engineer,"Back end,Cloud,Database,Testing,Web","You should probably have some mix of these...A keenness to be working closely and collaboratively with frontend developers and designersSome knowledge of Python and DjangoAn interest in Wagtail, our favourite CMS frameworkA basic understanding of working with Git and using GitHubAbility to learn from code review, taking part in cooperative learning and following best practices"
Backend software developer,Leaf Space,"Lomazzo, Como, Italy",14 October 2021,Developer / Engineer,Back end,Strong experience in Python programming (at least 3 years):Knowledge of asynchronous programming;Strong familiarity with Git distributed version control system;Strong familiarity with Linux based operating systems;
Full Stack Developer,Level 12,"Jeffersonville, IN, United States",14 October 2021,Developer / Engineer,Back end,"General Requirements3-6 years developing database-driven web applications with (preferably) Python (candidates without Python experience may still be considered but we will need to see experience with other dynamic languages: Ruby, PHP, JavaScript (Node); MVC (ish) web architecture, and experience in two of the following: SQL, modern front-end JavaScript (React preferred), or automated testing (TDD a plus).)You agree with and would be pleased to work under our development mission statement and guiding principlesYou can reason about software, algorithms, and performance from a high levelYou are (or are willing to be) committed to automated testing in your software development processStrong oral and written communication skillsSelf-motivated and have strong organizational skillsUS citizen or ability to work in the United States without sponsorshipBachelor’s Degree in computer science (or similar degree) or ability to demonstrate comparable education & experience"
Senior Python Backend Engineer,Solvvy,"Remote, United States",13 October 2021,Developer / Engineer,"Back end,Cloud,Database,Lead,Machine Learning,Text Processing,Web","Passionate about the Python programming language and its ecosystem, including recent innovations in packaging (Poetry), static typing (Mypy) and event-driven programming (asyncio)Experience building backend API features and endpoints using Python frameworks such as Tornado, Starlette and FastAPIComfortable working in a containerized microservices environment and designing distributed systems using an API-first approachExperience with SQL databases (such as PostgreSQL) and other types of data stores, such as key-value stores and message queues. Experience with domain modeling and domain-driven design is a plus.Capable of reasoning deeply about application state and managing tradeoffs between latency, consistency and throughput in distributed systemsDedicated to engineering best practices such as version control (Git), automated testing, in-depth code reviews, code linting and static type-checking.Nice-to-haves:Familiarity with machine learning and MLOpsComfortable in a Kubernetes environmentExperience with GraphQLExperience with TypeScript4+ years of experience in FastAPI (just kidding! 😂)"
Senior Software Engineer,Stansberry Research,"Baltimore, MD, United States",13 October 2021,Developer / Engineer,Back end,"Minimum of 5-10 years of experience in software engineering, design and development of scalable web-based applications.Bachelor’s Degree in Computer Science or Mathematics, Physics or a similar field.7+ years of experience in full stack web development.Excellent Python coding skills and understanding of Python best practices.Experience with Python web frameworks and front-end frameworks like Angular.Experience in designing and developing Web Services and RESTFUL APIs using Python.Three (3) years of cloud-based development experience (Amazon Web Services (AWS), Azure, or Google Cloud).Ability to write clean, maintainable code, including unit tests (TDD).Passion for learning and adopting new technology.Obsession with customer focus and delivering business value. Demonstrate ownership, urgency and drive.Strong understanding of data structures.Knowledge of architecture and software design patterns (Collections, DI, IoC, MVC, TDD etc).Experience in building data intensive systems.Development with data in PostgreSQL or comparable relational database management system (RDBMS).Ability to write complex queries using SQL and NoSQL statements.Experience with security frameworks.Experience with ElasticSearch and machine learning frameworks.Experience with performance tuning.Proficient on version control tools such as Git, Github, GitLab or similar.Must have excellent communication skills (verbal and written)."
Senior Machine Learning Engineer,WattTime.org,"Remote U.S., Remote U.S., Remote U.S.",13 October 2021,Developer / Engineer,"Back end,Database,Image Processing,Machine Learning","4+ years of work experience in computer vision, machine learning or data science. Extensive neural network experience is not required.Strong software engineering skills in Python and its associated data science libraries, specifically scikit-learn.Comfortable working in a Unix environment, familiar with relational databases and cloud infrastructure.Experience implementing and testing advanced machine learning algorithms.Highly motivated, collaborative, action-oriented, confident, and respectful.Bonus points: Prior experience working with satellite imagery, power grid, emissions and/or energy data."
Software Engineer,Acryl Data,"Mountain View, CA, United States",13 October 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Integration",Expertise in PythonFamiliarity with tools in the modern data and ML ecosystemKnowledge of distributed systemsAbility to design for scale and fault tolerance
Senior Python Developer (100% Remote),VersaFeed.com,"Remote, Anywhere, United States",12 October 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Systems,Testing,Text Processing","No Agencies Please100% Remote OK, but be available for at least 1-2 hours per day in US PST (Pacific/San Francisco) timezone so we can communicate with you.English fluencyWe are looking for a long-term candidate. If your CV is entirely 1-2 year stints, we will probably pass.At least 4 years as a professional developer, with at least 2 writing Python code.Self-motivated. This can be hard for remote work.Patient.  The code base is large and certain parts are unwieldly.  Be able to read code/comments, dig in, and fix things when needed.Excited.  There are some really fun areas we work with including new features that exist in their own container running bleeding edge libraries.Inquisitive.  We wear lots of hats.  We write code, debug code, manage containers, AWS instances, shell scripts, cron jobs, proxies, pytests, SQL/Postgres, Prometheus, etc.  These all require an inquisitive mindset and the ability to research and dig on a problem."
Senior/Middle Python Developer,SIT Alemira,"Sofia, Bulgary",12 October 2021,Developer / Engineer,Back end,"Bachelor's or Master’s degree in Computer Science, a related technical field, or equivalent practical experience3+ years experience in Python.Solid experience in containerization and microservice orchestration.English language knowledge - technical (at least B1-B2 level)."
Senior Software Engineer (Python),TechnologyAdvice,"Nashville / REMOTE, Tennessee, United States",12 October 2021,Developer / Engineer,"Back end,Front end","What You Bring…5+ Years building applications with PythonExcellent programming, testing, and debugging skillsRobust knowledge of SQL and relational databases such as MySQLMust be flexible with a “can-do” attitude and have the ability to remain professional under high-pressure situationsExperience with data pipeline and workflow management tools like AirflowMust be detail-oriented, organized, and have the ability to multitaskExcellent time management and planning skills are essentialAbility to retain and protect confidential materialAbility to thrive in a reactive environmentBachelor’s degree, or equivalent experience in Data/Business Analytics"
"Remote Mid, Senior and Staff Python Engineers for Active Lifestyle Startup",Pocket Outdoor Media,"Boulder, Colorado, United States",12 October 2021,Developer / Engineer,"Back end,Cloud,Front end,Integration,Web","You have strong proficiency in Python Django Architecture for large scale systems with high throughput and redundancy and you love Rest API’s. Map experience is a plus,About the CompanyWhat We Offer YouWe’ll offer you a supportive, collaborative work environment, with colleagues who care about the success of the company.We will treat you fairly, provide competitive compensation, on-going recognition, and most of all, a chance to learn, contribute and develop your skillsWe’ll provide you the chance to join an explosive industry, a successful and growing organization and an unmatched leadership team, passionate about their employeesWe offer you fun, enthusiasm, support, a passion for healthy living and never a dull moment!Contact InfoContact: Devwon BriceE-mail contact:devwon@technicalintegrity.comWeb:https://blog.technicalintegrity.com/blog/jobs/"
Python Developer (m/w/d),retarus,"Lisbon, Portugal",09 October 2021,Developer / Engineer,"Back end,Cloud","Python has been your language of choice for several years and is not just a scripting language for youYou are familiar with the concepts of object-oriented software development and have experience in other high-level programming languages (Java/Go)You have experience with concurrency / asynchronous development (asyncio, threading and web frameworks like Tornado)You have a solid knowledge of Docker, Continuous Integration (Jenkins, Groovy) and LinuxYou have already worked with relational databases, ORM like SQLAlchemy or Elasticseach are not foreign to youYou are interested in new technologies and are willing to learn about them"
Senior Python Engineer - Remote,Launch Potato,"Delray Beach, Florida, United States",07 October 2021,Developer / Engineer,"Back end,Integration,Systems","WHAT YOU NEED TO SUCCEEDExpert in Python/Django: Understanding of the threading limitations of Python, and multi-process architecture. Data modeling around complicated relationships.Must be able to write maintainable/scalable/efficient codeUnderstanding of fundamental design principles behind a scalable applicationFluent in back-end development and distributed systemsStrong unit test and debugging skillsGood unit test and integration testing principles"
Lead Python Engineer - Remote,Launch Potato,"Delray Beach, Florida, United States",07 October 2021,Developer / Engineer,"Back end,Integration,Lead","WHAT YOU NEED TO SUCCEEDExpert in Python/Django: Understanding of the threading limitations of Python, and multi-process architecture. Data modeling around complicated relationships.Must be able to write maintainable/scalable/efficient codeUnderstanding of fundamental design principles behind a scalable applicationFluent in back-end development and distributed systemsStrong unit test and debugging skillsGood unit test and integration testing principles"
Python Engineer,https://yougov.co.uk/,"100% Remote, India / Europe / UK",07 October 2021,Developer / Engineer,"Back end,Web","A true passion for technology and PythonSound experience of test-driven developmentTechnical skills and qualifications:3+ Years’ experience with using PythonGood understanding about both SQL and NoSQL DatabasesKnowledge with Docker and KubernetesExperience in Django, Flask or similar micro-framework"
Test Automation Developer – Python/Pytest/BDD,pEp Security,"Barcelona, Barcelona, Spain",07 October 2021,Developer / Engineer,"Cloud,Testing","RequiredPython/pytest/BDDLinux knowledge including command line scripting and SSHExcellent communication skillsExperience in VirtualizationAbility to work in autonomy, but enjoy teamworkService minded and result orientedFluency in English"
Software Engineer,impress.ai,"Kochi, Kerala, India",06 October 2021,Developer / Engineer,Back end,"QualificationsProven work experience as a Software Engineer or Software Developer (2+ Years in Python)Experience designing interactive web applicationsAbility in developing software in the Django framework (Python) is necessary for the role.Excellent knowledge of relational databases, SQL, and ORM technologiesProficiency in software engineering toolsAbility to document requirements and specificationsBSc degree in Computer Science, Engineering, or relevant field preferred but not necessary."
Senior or Strong Mid-Level Python Developer [Long-Term] [Eastern Europe] [Remote],CrewNew,"Remote, Talinn, Estonia",05 October 2021,Other,"Back end,Cloud,Front end,Machine Learning,Systems","Straight away you will need to jump into the chatbot development team where already 3 developers work. You will be working in the very beginning:In integration, some tests are broken, need to debug and fixMake the chatbot multi-lingual. Tasks will come as you work and the whole team is involved.These are just some first tasks with the first customer project that will last approx. 2 months. After that after successful co-operation next projects / customers.The system is quite complex so we will require you to have a quick live coding session with the lead dev to demonstrate that you really are senior or at least strong mid.The whole stack on this project: FastAPI, Flask, React.js, RabbitMQ, Celery, Docker, Docker-compose + customer own built chatbot orchestration framework. With that, you will get also tasks. Some of it is built on top of SpiffWorkflow and some is custom.About the CompanyWe at Crewnew, offer you the chance to :work with friendly, enthusiastic, and fun colleaguesStartup mentality and possibilities2-3 times per year meetings in Tartu, Tallinn, Cluj Napoca, Skopje & Bitola offices but also in our winter destination Las PalmasProven core team members are offered to get shares in the companyAbility to join the mission to build new products that improve our worldWork in a fast-paced environment where you can really add value"
Director Of Engineering (First Eng Hire),Marqii,"Remote, US, US",04 October 2021,Manager / Executive,"Back end,Cloud,Front end,Integration,Operations,Web","Python
Django
Full Stack Development
HTML/CSS/JavascriptAbout the CompanyWe take on the complex operations of running your hospitality group, with hundreds of distributed systems, it gets harder and harder to focus on what really matters. Our mission is to simplify, streamline and connect hospitality software. Our vision is to build a network of connected systems in order to create a seamless operation, whether you are updating your consumer-facing menus on Google or sending your POS data to your inventory system so you know exactly how much to order. We want to free up time so you can focus on the things that matter like running your restaurant.Contact InfoContact: EvanE-mail contact:evan@marqii.comWeb:https://www.marqii.com/"
Senior PyData Software Developer,Quansight,"Austin, TX, United States",04 October 2021,Developer / Engineer,,"Fluency in PythonExtensive experience with the Scientific Python and Data Science ecosystems, i.e. Pandas, NumPy, Scikit-Learn, etc.Experience applying the PyData stack to data and scientific projectsFamiliarity with software engineering best practices, including unit tests, code review, version control, CI/CD, etc.Superior written and verbal communication skills, including writing and reviewing  documentationAbility to make technical and architectural decisions with minimal oversight.Additionally one or more of the following skills will help you stand out:Contributions to open source projectsSkills in other programming languagesExperience with DevOps and Infrastructure-as-Code approachesExperience with Python packaging and conda environmentsExperience with advanced Python data libraries such as Dask and NumbaExperience working in a client-facing environmentExposure to building data engineering pipelines using Prefect, Airflow and similar toolsPractical Experience in MLOps approachesAbility to provide technical leadership to others"
Backend Engineer,MSK.ai,"Remote, United Kingdom",04 October 2021,Developer / Engineer,"Back end,Database,Integration,Testing,Web","What we need:2-3 years of experience writing Backend applications using Python and ideally Django (Rest Framework) or related frameworks, e.g. Flask, FastAPI or similarGood understanding of ORM (either Django or SQLAlchemy)Good understanding of Python Unit Testing frameworks and TDD practices.Experience working with Cloud Infrastructure (Ideally AWS)Good understanding of Git"
Senior Developer (Python/Django),Strix Tech Co.,"Kuwait City, Kuwait, Kuwait",03 October 2021,Developer / Engineer,"Back end,Integration,Lead,Systems","Bachelor’s degree in computer programming, computer science, or a related field4+ years of experience in Python/DjangoGood understanding in various Python Libraries, API's and toolkits.Good Understanding in front end development tools like React and angular.Able to speak EnglishExcellent communication skills.Adaptable and willing to learn new techniques.First 3 Month Remote working. After 3 Month, willing to relocate to Kuwait for full time job."
"Senior Engineer, Python","Saile, Inc.","Kansas City, MO, United States",01 October 2021,Developer / Engineer,"Back end,Cloud,Machine Learning","We're looking for a candidate with the following qualifications:An expert in Python, primarily and secondarily in Node.js.Specifically, we are interested in candidates exposed to libraries and APIs such as Google (gmail - reading and sending email),SQLAlchemy,Pandas.Working experience with any relational database - we prefer Aurora PostgreSQLExperience in working with Cloud environments such as AWS (ECS,EC2,Lambda,Cloud9 etc.)Experience in developing APIs and Microservices with understanding of GraphQL technology.Understanding of Python frameworks (Flask).Comfortable working in any version control systems such as Gitlab, GitHub or Code Commit.AWS DevOps with continuous integration/delivery (CI/CD) principles.Understanding of frontend javascript frameworks such as React."
Senior Backend Engineer - Connectivity,Nylas,"Remote, CA, WA, OR, CO, TX, IL, NY, MA & Toronto, United States or Canada",30 September 2021,Developer / Engineer,Back end,"QualificationsBS in Computer Science, Engineering or equivalentAt least 5+ years of experience in backend development on high-impact projectsStrong experience with Python (Flask preferred) and GolangExperience with microservices, distributed system, and CI/CD pipelinesExperience with modern database and storage (MySQL, NoSQL)Some experience with containers and related infrastructure (Docker and K8s)Some experience with Cloud Services (AWS or GCP is preferred)Fast-learner and team player"
Python Software Developer (m/f/d),dicehub,"Frankfurt, Germany",30 September 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Front end,Integration,Machine Learning,Numeric processing,Systems,Web","Our requirements
- Extensive experience with Python 3 (4+ years)
- Extensive knowledge of asynchronous processes and network communication
- Experience in the development of distributed systems
- Excellent knowledge of databases: PostgreSQL, MongoDB
- The desire to develop and experiment with new technologiesNice to haveExperience in C ++Experience with Docker, Kubernetes, AWSExperience with GraphQLKnowledge of JavaScript: VueJsKnowledge of Machine Learning frameworks: PyTorch, TensorflowExperience with OpenGL, WebGL, VTKKnowledge of 3D visualization, fluid dynamics, mathematics or physics"
Senior Python Backend Engineer,Reef Technologies,"Warsaw (fully remote), Poland",29 September 2021,Developer / Engineer,Back end,"PythonAbout the CompanyWe are a small, agile team composed exclusively of senior engineers with at least four years of experience. We know what it takes to deliver stable solutions – and that is exactly what we do. By always taking edge cases into account, we minimize the probability of ever having to perform urgent fixes.Contact InfoContact: MałgorzataE-mail contact:malgorzata.kowalewska@reef.plWeb:https://careers.reef.pl/"
Software Engineer Python (m/f/d),PAYBACK GmbH,"München, Germany",29 September 2021,Developer / Engineer,"Machine Learning,Testing","Solid knowledge and experience in developing with Python with a focus on data-intensive applications (frameworks such as pandas & big-data frameworks such as Spark)Experience with OOP in general, specifically with Domain-Driven-Design and hexagonal architecturesYou know the essentials of (Unit)-Testing and have used Testing-Frameworks such as PyTest, optional: BDD & GherkinsYou have worked with ORM-Frameworks such as SQLAlchemy and basic understanding of performance optimization in relational databasesMicroservices, Kafka, Containers, Kubernetes/ OpenShift are not just buzzwords for you but things you already have gained some experience or you can't wait to do so.You have worked with CI-Tools such as Jenkins and have a basic understanding of VCS (Git) and LinuxYou enjoy working in an agile software development process"
Python Tech Lead for text processing team,PeakData AG,"Zug, Switzerland",27 September 2021,Developer / Engineer,"Big Data,Database,Machine Learning",Proficient in Python software developmentStartup mindset: be pragmatic - not dogmatic.Previous experience in data engineering or creating big data pipelinesPrevious experience managing people and/or technical projectsKnowledge of data science practicesExcellent written and verbal communication (English)Training of the data team based on the identified gapsParticipate in the hiring process as a tech expert
Remote Python Developer,Scopic,"Any city, Worldwide",27 September 2021,Developer / Engineer,"Back end,Front end","The skills and traits we’re looking for:2+ years of professional software development experienceStrong Python programming skillsExpertise in Django or similar framework (e.g. Flask)JavaScript programming skills, including at least one JavaScript framework (e.g. React, Angular, or Vue.js)Database skills including schemas and ORMsGeneral programming best practices, including proper use of Git"
Systems Engineer / Developer,techfolk,"Bristol or Cambridge or London, United Kingdom",27 September 2021,Developer / Engineer,"Back end,Cloud,Integration,Lead,Operations,Systems","Someone customer focused and solution orientedA solid understanding of Computing, Maths or Engineering - accrued through formal education or equivalent applied practiceLinux configuration and management with shell scripting, Python or similarOptionally; strong Python and/or C++ applied to Linux systems, infrastructure, or back-end developmentExperience of configuring and managing hardware platforms, and infrastructure for clustersKnowledge of Ethernet and IP networking standardsProduction admin skills with two or more of; Kubernetes, Docker, Grid Engine, Slurm, OpenStack, public/private cloud etc.Comfortable debugging across multi-layer solutionsFamiliarity with modern CI/CD and orchestration methodsAn aptitude for trouble-shooting and a pragmatic application of engineering rigour: from the basic symptoms through to analysis and resolution with code fixes, work-arounds, improved documentation, tutorials, and collaboration with other teams"
Python developer,Beslist.nl,"Arnhem, Netherlands",25 September 2021,Developer / Engineer,"Back end,Big Data,Cloud,Database,Front end,Web","You have a completed education at HBO / WO level, preferably in the direction of Computer Science or Software Engineering / (Web) Development.Several (3+) years of relevant work experience as a Big Data/Software/Python Developer or something similar with solid up-to-date knowledge.Knowledge or experience with the following tools/techniques is a plus.- AWS- Jira, Git or DockerAnalytical and accurate work attitude.You are decisive, result-oriented, initiative and you have perseverance.Your enthusiasm for the work is expressed in ownership and continuous urge to improve."
Python Automation Developer,Tekwissen,"Bangalore, Karnataka, India",23 September 2021,Developer / Engineer,"Back end,Front end,Testing","Good Hands-on experience in Python Automation.
Good Hands-on in writing test cases using Python.
Domain can be Networking, Automotive, Healthcare ( Medical)Contact InfoContact: RakeshE-mail contact:rakesh.j@tekwissen.inWeb:https://tekwissen.com/"
Senior Python Developer,Pocket Worlds,"Remote, Europe",22 September 2021,Developer / Engineer,Back end,"To be successful in this role, we'd expect you to…:Have 4+ years of experience in Python developmentBe familiar with common database access patternsHave experience with designing systems and monitoring metrics, looking at graphsHave knowledge of AWS, Kubernetes and DockerBe able to work well in a remote development environmentBe able to communicate in English at a native speaking and writing levelBe responsible to your fellow remote team membersBe highly communicative and go out of your way to contribute to the team and help others"
Remote Python Engineers for Active Lifestyle Startup,Pocket Outdoor Media,"Boulder, Colorado, United States",21 September 2021,Developer / Engineer,Back end,"You have strong proficiency in Python Django Architecture for large scale systems with high throughput and redundancy and you love Rest API’sAbout the CompanyOur client has an incredibly unique vision when it comes to providing a center of gravity for active lifestyle participants and their interests. They build innovative, integrated software services that help users better understand the links between their favorite activities, training, nutrition, and they motivate and inspire users daily.If you love yoga, skiing, snowboarding, climbing, biking, nutrition, action sports of any sort or simply sitting outside under a tree…our client has something for you.Contact InfoContact: Devwon BriceE-mail contact:devwon@technicalintegrity.comWeb:https://loxo.co/job/bxshvc5yqc1aqz1p?t=1628202000"
Remote Staff Python Engineers with Mapbox for Active Lifestyle Media Startup,Pocket Outdoor Media,"Boulder, Colorado, United States",21 September 2021,Developer / Engineer,"Back end,Management","You have Mapbox experience, strong proficiency in Python Django Architecture for large scale systems with high throughput and redundancy and you love Rest API’sAbout the CompanyOur client has an incredibly unique vision when it comes to providing a center of gravity for active lifestyle participants and their interests. They build innovative, integrated software services that help users better understand the links between their favorite activities, training, nutrition, and they motivate and inspire users daily.If you love yoga, skiing, snowboarding, climbing, biking, nutrition, action sports of any sort or simply sitting outside under a tree…our client has something for you.Contact InfoContact: Devwon BriceE-mail contact:devwon@technicalintegrity.comWeb:https://loxo.co/job/865m1g4pw6ctehku?t=1630083174"
Senior Python Developer,Zurich,"Barcelona, Barcelona, Spain",21 September 2021,Developer / Engineer,"Back end,Cloud,Database,Finance,Front end,Integration,Operations,Systems,Testing,Text Processing,Web","University education (Bachelor's degree)5 and more years of experience on similar positionGood communication skills & proactive team player with customer centric approachExperience and proven track record on Gathering, Solution / Process Design, Testing and DeploymentExperienced on Actuary Reserving and IT backgroundProven track record of project deliveries. Agile SCRUM certifiedProven track record of Cloud experience. AZURE certifiedSounding understanding of emerging technologies such as Azure CloudFluent on Microsoft 365 PackageKnowledge on SAS programming is a differentialHigh work proficiency in EnglishAbility to lead/collaborate on projects and work independently when required.Coordinate with internal teams to understand user requirements and provide technical solutions"
Python Developer,Referment,"London, United Kingdom",20 September 2021,Developer / Engineer,Image Processing,"3-6 years of python development experience (ideally working on data intensive, numerical applications)Strong knowledge of linux/unixKnowledge of source control tools such as Git.Experience working in an Agile environment"
Software Engineer - Data Engineering,"ForeFlight, LLC","Austin / Houston / Portland, ME / Remote (US), United States",17 September 2021,Developer / Engineer,"Back end,Cloud,Database,Image Processing,Operations,Systems,Text Processing","We are looking for someone who has experience with and enjoys writing Python. Experience with one or more other programming languages is a plus. This person is naturally curious, exploring new technologies in order to stay current, but balances the use of new and old to ensure that execution is priority.Professionally, this person is driven to execute, deliver, and complete projects independently, seeking advice and direction from team members when needed, and plowing ahead to completion when the path forward is clear. Junior candidates and recent Computer Science grads are encouraged to apply.In addition to Python, we make extensive use of relational databases (Postgres and SQLite) via object-relational mappers (SQLAlchemy) and good old fashioned SQL. We deploy on AWS using technologies such as EC2, ECS, RDS, S3, and Cloudfront. We make use of GIS software including GEOS, GDAL, and QGIS. We use macOS, Linux, Docker, Git, and even a little Bash. Experience with any or all of these or similar technologies is a bonus.A pilot-coder, or individual looking to pursue their private pilot license, is a plus.About the CompanyForeFlight produces the best-selling iPad and iPhone app for pilots flying personal and business aircraft, corporate flight departments, and aircraft operators. Customers include individual pilots worldwide, Fortune 500 corporate flight departments, state and federal agencies, leading operators, and leading aircraft OEMs. We have been in the App Store since Day 1 (7/10/2008) and are consistently ranked in the top 50 grossing iPad apps in the App Store.We are known for our exceptional software user interface design and responsive, knowledgeable customer support team. ForeFlight Mobile, our flagship application, was named Aviation Consumer's 2011 App of the Year and received Flying Magazine's Editors' Choice Award for 2011, 2012, and 2013. Our app was featured in the “Dreams” iPhone commercial.We are a product-focused company where software development and customer service are the top priorities. Our software development team hails from Trinity University, Rice University, Texas A&M, UT Austin, and Clemson. We love shipping.Benefits:Health and dental benefits.401(k) with matching.Performance based bonuses.Flight training reimbursement."
Remote - Sr Python Developer,APPI,"Austin, TX, United States",17 September 2021,Developer / Engineer,"Back end,Web",5+ years experience with Python coding3+ years experience with DjangoSolid database skillsStrong knowledge of GitHubDigitalOcean infrastructure knowledgeCelery workers knowledge
Senior Backend Engineer,Kalepa,"New York, New York, United States",16 September 2021,Developer / Engineer,"Back end,Cloud,Machine Learning,Systems","You'll be right at home if you:Have a minimum of 5+ years of relevant software engineering experience.Have excellent development skills including design, debugging and problem solving.You possess a bachelors or master's degree in computer science or a related field.We primarily use Python3 however are open to seeing your code in other OO languages (Java, C++, C#, etc).Experience with AWS as we work with serverless technologies and asynchronous workflow. (EC2, Lambda, etc.)Have worked with relational databases with a preference for PostgreSQLLove working on distributed systems creating scalable, fault-tolerant infrastructure.Can build data driven microservices leveraging RESTful API's.Have worked with some of the following tools: Docker, Git, GitHub, Flask, NumPy,Pandas."
Remote - Sr Python Developer,ConsumerAffairs,"Austin, Texas, United States",14 September 2021,Developer / Engineer,"Back end,Cloud","5+ years’ experience of Python coding skills3+ years hands on experience with the Django frameworkSolid database skills in a relational database (i.e. PostgresSQL, MariaDB, etc.)Knowledge of how to build and use RESTful APIsKnowledge about containers technology, mainly Docker.Strong knowledge of version control (i.e. git, svn, etc.)Amazon Web Services (AWS) infrastructure knowledge is a plus"
Python and Django back-end developer-remote,ExecutiveSurf,"London / Remote, United Kingdom / Remote",14 September 2021,Developer / Engineer,Back end,"Technical degree + minimum 2 years commercial programming experience (or equivalent work experience)Strong knowledge / Fluency in Python and DjangoUnderstanding of the software development process - good understanding of GIT, test driven developmentGood command of HTMLGood understanding of backend web development and modern technologies - e.g. apis, databases, cloudThe candidate needs to be based in Europe for contract reasons (no sponsorship licence!)"
